events,change_re
catcher_interf,-0.14184375
caught_stealing_2b,-0.15690588235294117
caught_stealing_3b,-0.32
caught_stealing_home,-0.29014285714285715
double,0.35941635263217997
double_play,-0.4670802919708029
field_error,0.11436287508722959
field_out,-0.15853303239579716
fielders_choice,0.007387387387387391
fielders_choice_out,-0.5069779874213837
force_out,-0.21841109460128777
game_advisory,-0.5566666666666666
grounded_into_double_play,-0.3669413859216653
hit_by_pitch,-0.07157342954159593
home_run,1.4091535517452543
other_out,-0.17711363636363636
passed_ball,0.642
pickoff_1b,-0.22087500000000002
pickoff_2b,-0.27742857142857147
pickoff_3b,-0.4375
pickoff_caught_stealing_2b,0.06
pickoff_caught_stealing_3b,-0.309
sac_bunt,-0.30164188351920695
sac_bunt_double_play,-0.382
sac_fly,0.3696365092073659
sac_fly_double_play,0.3405263157894737
single,0.12149894935149627
stolen_base_2b,-0.11900000000000001
strikeout,-0.18341660951564512
strikeout_double_play,-0.3661219512195122
triple,0.5251971279373367
triple_play,-0.6236666666666667
walk,-0.07572126247833104
wild_pitch,0.12244444444444445
