catcher,delta
adley rutschman,-0.02749120648751125
alejandro kirk,-0.02793164946865597
ali sánchez,-0.027732317285989152
andrew knapp,-0.0075541223635774415
andrew knizner,-0.021162563350411386
anthony bemboom,-0.02604854590346949
aramis garcia,-0.018370788022282043
austin allen,-0.014210300794515202
austin barnes,-0.03260274499156291
austin hedges,-0.022964591530455106
austin nola,-0.023721998692186247
austin wells,-0.03792981635825615
austin wynns,-0.017511807280717873
ben rortvedt,-0.03198549162406668
blake sabol,-0.027032386055641983
bo naylor,-0.02326556431828393
brett sullivan,-0.0256350405771908
brian navarreto,0.01849523993501028
brian o'keefe,-0.028544535938866314
brian serven,-0.02861162809996843
bryan lavastida,-0.03782442236730496
cal raleigh,-0.033632718086000046
caleb hamilton,-0.02741532517539453
cam gallagher,-0.025177948378945592
carlos pérez,-0.0137177538763813
carson kelly,-0.023733915816788905
chad wallach,-0.028456330713546238
chadwick tromp,-0.034160851826340974
chris okey,-0.03369583501461797
christian bethancourt,-0.03254402936369354
christian vázquez,-0.03272854429671721
chuckie robinson,0.038172423113264665
connor wong,-0.028760929508483878
curt casali,-0.02146565524378401
césar salazar,-0.02730166506405562
danny jansen,-0.029536762104615963
david freitas,-0.05513352684557342
david fry,-0.02146129452373678
dom nuñez,-0.04578172295864243
donny sands,-0.011096160654570449
drew millas,-0.022657146990910735
elías díaz,-0.017313153666612232
endy rodríguez,-0.022814877871403308
eric haase,-0.02750570425772671
ford proctor,-0.04612358680379189
francisco arcia,-0.03184020068439129
francisco mejía,-0.02476843408748582
francisco álvarez,-0.019122155360745872
freddy fermin,-0.021895620318994967
gabriel moreno,-0.02426094518819634
garrett stubbs,-0.02389457414547124
gary sánchez,-0.022721506643386655
grayson greiner,-0.026903180047195174
henry davis,-0.03734916149037
hunter goodman,0.02819024132875404
iván herrera,-0.022088228226013744
j. t. realmuto,-0.028569768903977732
jacob nottingham,-0.07371548814892961
jacob stallings,-0.02891255788697754
jake rogers,-0.02864331302736024
jakson reetz,-0.04425107724663011
james mccann,-0.028070360019380496
jason delay,-0.024230246625019894
joe hudson,-0.02219363009859405
joey bart,-0.02848325481966545
john hicks,-0.011493266781839291
jonah heim,-0.024391201441518556
jorge alfaro,-0.028023122652776348
jose trevino,-0.027334600064673302
josé briceño,-0.007548272789062145
josé herrera,-0.014563315982681142
juan centeno,-0.008556675788699867
keibert ruiz,-0.019704179134263852
kevin plawecki,-0.047969139922750564
korey lee,-0.014824246466522516
kyle higashioka,-0.02722383420039607
logan o'hoppe,-0.018423789728416382
logan porter,-0.019686054522615393
luis campusano,-0.02573469386241154
luis torrens,-0.01839345186902336
luke maile,-0.026376743229714356
manny piña,-0.025339213393197904
mark kolozsvary,-0.0023620538513398014
martín maldonado,-0.025153973511925352
matt thaiss,-0.024574771040878147
max stassi,-0.05363450034960072
meibrys viloria,-0.017846904809268503
michael papierski,-0.011802266343550279
michael pérez,-0.01829188721100264
miguel amaya,-0.0219943633776978
mike zunino,-0.022786357214264513
mitch garver,-0.025868112037995505
mj melendez,-0.024705278369388378
nick ciuffo,-0.004939454743593903
nick dini,-0.012079049517246363
nick fortes,-0.02596248946492939
omar narváez,-0.02248385989750691
p. j. higgins,-0.01141118216479735
patrick bailey,-0.03297628654509796
patrick mazeika,-0.025773177239165636
payton henry,-0.06524495870349376
pedro severino,-0.016630533688868448
reese mcguire,-0.02723904591186329
rené pinto,-0.0361742511496512
riley adams,-0.023561258260053772
rob brantly,-0.03670948581678533
roberto pérez,-0.040245317945034
ryan jeffers,-0.031445852871869726
salvador pérez,-0.02014773553417264
sam huff,-0.02493099109141324
sandy león,-0.027377534746637802
sean murphy,-0.027893282858584733
sebastián rivero,-0.05232535862774847
seby zavala,-0.0256970572296048
shea langeliers,-0.016885353908626808
tom murphy,-0.03088460462119193
tomás nido,-0.01894439460163213
tony wolters,-0.03459596179602976
travis d'arnaud,-0.024698027846922117
tres barrera,-0.02485741385505779
tucker barnhart,-0.02557399413560292
tyler cropley,-0.005182564895032901
tyler heineman,-0.02974268777001073
tyler soderstrom,-0.02218334890114269
tyler stephenson,-0.02037141616686804
víctor caratini,-0.023771668506539844
will smith,-0.028340593694532974
william contreras,-0.024470642134755742
willson contreras,-0.0193246037751759
yainer diaz,-0.020878524110305396
yan gomes,-0.02090026543007985
yasmani grandal,-0.022639059216275535
yohel pozo,-0.03699206055970437
zack collins,-0.04212454673531485
